code,product_name,energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,calcium_100g,iron_100g,nutrition-score-fr_100g,categories_en
79606020156,"Bean & cheese burritos, bean & cheese",212.0,887.0,4.42,0.88,0.0,0.004,35.4,0.88,2.7,7.96,0.73,0.292,0.042,0.00265,-1.0,Frozen foods
41497546114,Frosted strawberry toaster pastries,385.0,1611.0,9.62,3.85,0.0,0.0,71.15,30.77,1.9,3.85,0.72,0.288,0.0,0.00346,15.0,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Pastries,Toaster pastries"
0017082885012,Mahalo teriyaki snack strip,261.0,1092.0,4.35,1.74,0.0,0.087,21.74,17.39,0.0,30.43,4.565,1.826,0.0,0.00157,17.0,Snacks
41303046333,"Graham cracker pie crust, graham cracker",500.0,2092.0,30.77,19.23,0.0,0.0,57.69,23.08,0.0,3.85,0.865,0.346,0.0,0.00192,24.0,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pie dough"
0028000791179,Nest eggs pieces in milk chocolate,488.0,2042.0,25.58,13.95,0.0,0.012,67.44,55.81,2.3,4.65,0.2025,0.081,0.093,0.0,24.0,"Snacks,Sweet snacks,Confectioneries"
0728229015567,"Chile lime plantains real vegetable chips, chile lime",500.0,2092.0,25.0,21.43,0.0,0.0,64.29,3.57,7.1,3.57,1.6075,0.643,0.0,0.00107,18.0,Snacks
94922973269,Tea time pork pate,290.0,1213.0,25.0,9.0,0.0,0.09,1.0,0.0,0.0,13.0,1.725,0.69,0.02,0.0036,18.0,"Canned foods,Meats and their products,Meats,Canned meats"
77034099225,Sweet 'N Salty Mix,473.68,1982.0,31.58,8.77,0.0,0.0,47.37,35.09,5.26,14.04,0.4902,0.19608,0.07,0.00189,7.0,Snacks
41321012105,Light parmesan peppercorn ranch,200.0,837.0,20.0,3.33,0.0,0.0,6.67,0.0,0.0,0.0,2.0825,0.833,0.0,0.0,14.0,"Condiments,Sauces,Dips,Groceries"
50428267813,Nutritional shake,93.0,389.0,2.53,0.42,0.0,0.004,13.5,6.33,0.4,3.8,0.21,0.084,0.127,0.0019,15.0,Beverages
819077014311,Milk Chocolate,525.0,2197.0,30.0,20.0,0.0,0.012,57.5,57.5,2.5,5.0,0.22,0.088,0.2,0.0009,24.0,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies"
0099482452643,"365 everyday value, organic oven roasted turkey breast",125.0,523.0,3.57,0.0,0.0,0.054,1.79,0.0,0.0,19.64,1.16,0.464,0.0,0.00064,1.0,"Meats and their products,Meats,Prepared meats"
744473945009,Culinary Coconut Milk,177.0,741.0,17.72,15.19,0.0,0.0,6.33,2.53,5.1,1.27,0.0325,0.013,0.0,0.00091,7.0,"Plant-based foods and beverages,Beverages,Dairy substitutes,Milk substitutes,Plant-based beverages,Plant-based milk alternatives"
72804004607,Vitamin D Milk,64.0,268.0,3.39,2.12,0.0,0.015,5.08,5.08,0.0,3.39,0.1275,0.051,0.127,0.0,1.0,"Dairies,Milks"
853522000894,Vanilla honey graham crunchy cookies,500.0,2092.0,26.92,11.54,0.0,0.0,65.38,34.62,3.8,3.85,0.8175,0.327,0.0,0.00138,22.0,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits"
688267093128,Applesauce,71.0,297.0,0.0,0.0,0.0,0.0,18.25,15.87,0.8,0.0,0.02,0.008,0.0,0.0,1.0,Snacks
41303046807,"Uncured turkey bacon turkey dark meat chopped & formed wood smoked, uncured turkey bacon",417.0,1745.0,20.83,4.17,0.0,0.167,8.33,0.0,0.0,50.0,5.0,2.0,0.0,0.003,19.0,"Meats and their products,Meats,Prepared meats"
0048121321055,Nooks & crannies english muffins,228.0,954.0,1.75,0.0,0.0,0.0,43.86,1.75,1.8,7.02,0.92,0.368,0.14,0.00246,1.0,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads"
41512157912,Quartered artichoke hearts,38.0,159.0,0.0,0.0,0.0,0.0,6.92,1.54,3.1,1.54,0.8075,0.323,0.031,0.00046,0.0,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Vegetables based foods,Canned plant-based foods,Canned vegetables"
8906046144338,Indian chat masala natural spices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.45,6.98,0.0,0.0,10.0,"Condiments,Groceries"
7789043525,"Thin crust pizza, supreme",255.0,1067.0,13.42,6.04,0.0,0.03,23.49,3.36,2.0,0.67,1.4925,0.597,0.178,0.00134,12.0,"Meals,Pizzas pies and quiches,Pizzas"
78742017983,Medium Restaurant Style Salsa,33.333333333333,139.0,0.0,0.0,0.0,0.0,6.6666666666667,3.3333333333333,3.3333333333333,0.0,1.75,0.7,0.0,0.0,-1.0,"Condiments,Sauces,Dips,Groceries"
11153048597,"Sweet & tangy hickory & brown sugar barbecue sauce, hickory & brown sugar",162.0,678.0,0.0,0.0,0.0,0.0,43.24,40.54,0.0,0.0,2.0275,0.811,0.0,0.0,20.0,"Condiments,Sauces,Groceries"
73402117201,Pumpernickel Premium Bread,259.0,1084.0,3.7,0.0,0.0,0.0,51.85,3.7,3.7,11.11,1.8525,0.741,0.148,0.00267,8.0,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads"
0040232082160,"Quickchek, Apples And Candy Corn",167.0,699.0,0.0,0.0,0.0,0.0,41.67,30.77,1.3,1.28,0.1275,0.051,0.128,0.0,5.0,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods"
681131101509,Red velvet cupcakes filled with real cream cheese,14.084507042254,59.0,23.943661971831,8.4507042253521,0.0,0.042,50.704225352113,40.845070422535,1.4,2.8169014084507,0.66901408450705,0.26760563380282,0.0,0.00152,18.0,"Snacks,Sweet snacks,Biscuits and cakes,Cakes"
99482428945,"365 everyday value, organic crunchy pretzel sticks",393.0,1644.0,0.0,0.0,0.0,0.0,82.14,3.57,3.6,10.71,2.6775,1.071,0.0,0.0,11.0,Snacks
51000025562,Campbell's gravy pork,58.0,243.0,2.5,0.83,0.0,0.0,6.67,0.0,0.0,1.67,1.25,0.5,0.0,0.0,4.0,"Condiments,Sauces,Groceries"
688267131974,Cherry jelly eggs,400.0,1674.0,0.0,0.0,0.0,0.0,100.0,92.5,0.0,0.0,0.0,0.0,0.0,0.0,14.0,"Snacks,Sweet snacks,Confectioneries"
98754005525,Cheese enchiladas,182.0,761.0,10.0,5.88,0.0,0.029,16.47,1.76,1.8,8.82,2.97,1.188,0.206,0.00085,16.0,Frozen foods
79893406862,Organic low sodium beef broth,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.1425,0.057,0.0,0.0,0.0,"Canned foods,Meals,Soups,Canned meals,Canned soups"
50100171919,"HEALTHY CHOICE Microwave Red Bean and Rice soup, 14 OZ",59.0,247.0,0.45,0.0,0.0,0.0,10.81,2.25,1.8,1.8,0.44,0.176,0.027,0.00065,-1.0,"Meals,Soups"
49800075498,Chocolate Cake,388.0,1623.0,15.29,8.24,0.0,0.029,60.0,45.88,2.4,3.53,1.0875,0.435,0.024,0.0,24.0,"Snacks,Sweet snacks,Biscuits and cakes,Cakes,Chocolate cakes"
0046567034096,Stick pretzels,393.0,1644.0,3.57,0.0,0.0,0.0,82.14,3.57,3.6,10.71,3.3925,1.357,0.0,0.00643,11.0,Snacks
0725439116411,Natural Yellow Double Cheddar Shredded Cheese,393.0,1644.0,32.14,21.43,0.0,0.107,3.57,0.0,0.0,25.0,1.6075,0.643,0.714,0.0,16.0,"Dairies,Fermented foods,Fermented milk products,Cheeses,Cow cheeses,Cheeses from the United Kingdom,Cheeses from England,Cheddar cheese,Grated cheese"
79893710754,Organic blended yogurt,93.0,389.0,3.0,1.67,0.0,0.01,14.67,12.0,0.7,3.33,0.1175,0.047,0.1,0.0,2.0,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts"
62356540616,Basra Date Molasses,300.0,1255.0,0.0,0.0,0.0,0.0,75.0,65.0,1.0,1.0,0.15625,0.0625,0.0,0.0,12.0,"Sweeteners,Syrups,Simple syrups,Molasses"
29796544178,"Emily's, Cranberries, Dark Chocolate Covered",500.0,2092.0,25.0,15.0,0.0,0.012,67.5,55.0,5.0,2.5,0.0,0.0,0.0,0.0018,21.0,Snacks
717544301547,Low fat yogurt,94.0,393.0,1.18,0.59,0.0,0.006,17.06,14.12,0.0,4.12,0.1325,0.053,0.118,0.0,2.0,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts"
42400107934,Crispy rice cereal,394.0,1648.0,0.0,0.0,0.0,0.0,87.88,9.09,0.0,6.06,1.4625,0.585,0.0,0.02727,12.0,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products"
79893126708,Wild-Caught Petite Shrimp,71.0,297.0,0.89,0.0,0.0,0.125,0.0,0.0,0.0,16.07,0.29,0.116,0.036,0.00064,-4.0,"Seafood,Frozen foods,Frozen seafood"
85239105436,Multigrain crisps with flax & sunflower seeds,286.0,1197.0,5.36,0.0,0.0,0.0,57.14,25.0,3.6,7.14,1.0725,0.429,0.071,0.00129,9.0,"Snacks,Sweet snacks,Biscuits and cakes"
41380014034,Yellow cling peach halves in peach juice and pear juice from concentrate in 100% juice,48.0,201.0,0.0,0.0,0.0,0.0,11.29,8.87,0.8,0.81,0.0,0.0,0.004,0.0,-1.0,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Canned plant-based foods,Fruits based foods,Canned fruits"
70470446141,Yoplait Greek 100 Whips! Strawberry Cheesecake Fat Free Yogurt Mousse,88.0,368.0,0.0,0.0,0.0,0.0,13.27,10.62,0.0,7.96,0.11,0.044,0.071,0.0,-1.0,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts"
688267160042,Spicy Mexican Style Finishing Sauce,71.0,297.0,3.57,0.0,0.0,0.0,7.14,3.57,3.6,0.0,1.785,0.714,0.0,0.00129,2.0,"Condiments,Sauces,Groceries"
0042222427609,"Jennie-o, turkey breakfast sausage patties, lean",161.0,674.0,8.93,2.68,0.0,0.071,0.0,0.0,0.0,17.86,1.6075,0.643,0.0,0.00064,11.0,"Meats and their products,Meat preparations,Meats,Prepared meats,Poultries,Sausages,Turkey and its products,Turkeys,Poultry sausages,Turkey preparations,Turkey sausages"
11110888204,Thai Inspired Chili Wing Sauce,265.0,1109.0,0.0,0.0,0.0,0.0,64.71,64.71,0.0,0.0,2.06,0.824,0.0,0.0,22.0,"Condiments,Sauces,Groceries"
11206000367,"Edward & Sons, Whole Grain Brown Rice Snaps, Unsalted Sesame",400.0,1674.0,6.67,0.0,0.0,0.0,80.0,0.0,6.7,6.67,0.0,0.0,0.0,0.0,-5.0,"Snacks,Sweet snacks,Biscuits and cakes"
41498218768,Original crumbled feta cheese,285.71428571429,1195.0,21.428571428571,14.285714285714,0.0,0.054,7.1428571428571,3.5714285714286,3.5714285714286,14.285714285714,2.6785714285715,1.0714285714286,0.214,0.0,15.0,"Dairies,Fermented foods,Fermented milk products,Cheeses"
681131328999,Organic herb mix,25.0,105.0,0.0,0.0,0.0,0.0,3.52,0.7,1.4,2.11,0.14,0.056,0.07,0.00127,-2.0,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods"
02114060828,Classic italian dressing,267.0,1117.0,23.33,3.33,0.0,0.0,16.67,13.33,0.0,0.0,2.8325,1.133,0.0,0.0,18.0,"Condiments,Sauces,Groceries"
20601411128,Raw turbinado,375.0,1569.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,"Sweeteners,Sugars"
85239042021,Strawberry mango fruit strips,357.14285714286,1494.0,0.0,0.0,0.0,0.0,85.714285714286,71.428571428571,7.1428571428571,0.0,0.0,0.0,0.0,0.00071,4.0,Snacks
30223018001,Apples & gouda cheese,141.0,590.0,7.69,5.13,0.0,0.032,10.26,7.69,0.0,7.69,0.61,0.244,0.224,0.0,3.0,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods"
24000550457,100% natural garden vegetable broth,8.0,33.0,0.0,0.0,0.0,0.0,1.67,1.25,0.0,0.0,0.73,0.292,0.005,0.0,2.0,"Plant-based foods and beverages,Plant-based foods,Canned foods,Meals,Soups,Broths,Canned meals,Vegetable broths,Canned soups,Groceries"
74641003317,Cantaloupe Spears,35.0,146.0,0.0,0.0,0.0,0.0,7.96,7.96,0.9,0.88,0.045,0.018,0.018,0.00032,-4.0,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods"
71106720086,"Country brand chili with beans, mild chili with sweet bell peppers",113.0,473.0,5.26,2.02,0.4,0.012,10.53,2.43,1.6,5.67,1.0025,0.401,0.008,0.00073,2.0,"Meals,Stews"
72728020080,Small Red Beans,77.0,322.0,0.0,0.0,0.0,0.0,13.85,0.0,3.8,4.62,0.885,0.354,0.031,0.00138,-3.0,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Canned foods,Legumes,Canned plant-based foods,Canned legumes,Canned common beans"
711535508977,"Chicken wild rice soup, chicken wild rice",37.0,155.0,0.41,0.0,0.0,0.004,6.12,0.41,0.8,2.45,0.6825,0.273,0.016,0.0002,2.0,"Canned foods,Meals,Soups,Canned meals,Canned soups"
70430110075,Giant Wheat Bread,250.0,1046.0,3.57,0.0,0.0,0.0,46.43,3.57,3.6,10.71,1.205,0.482,0.214,0.00286,0.0,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads"
30100100140,"Original cookies, original",533.0,2230.0,26.67,11.67,0.0,0.0,63.33,30.0,3.3,6.67,0.875,0.35,0.017,0.004,22.0,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits"
70690014540,Chopped walnuts,643.0,2690.0,64.29,5.36,0.0,0.0,14.29,3.57,7.1,14.29,0.0,0.0,0.071,0.00257,-2.0,Snacks
78264099085,"Hines, Orchard Fresh Cashews, Sea Salt & Pepper",582.0,2435.0,46.43,7.14,0.0,0.0,28.57,3.57,3.6,17.86,0.7675,0.307,0.036,0.00579,12.0,Snacks
30223002789,Rotini salad,150.0,628.0,7.86,1.07,0.0,0.0,18.57,4.29,0.7,2.14,0.6075,0.243,0.0,0.00051,3.0,"Meals,Prepared salads,Salads"
58300119663,Tacos for 2 Soft Taco Dinner Kit,333.0,1390.0,8.97,5.13,0.0,0.0,55.1,1.28,2.56,6.41,2.15,0.859,0.133,0.00462,16.0,Meal kits
655852005088,"Whole foods market, california almonds",643.0,2690.0,53.57,3.57,0.0,0.0,17.86,3.57,14.3,25.0,0.0,0.0,0.286,0.00514,-4.0,"Plant-based foods and beverages,Plant-based foods,Snacks,Nuts and their products,Nuts,Almonds"
